property_type,rooms,parking,bathroom,size,region,monthly_rent(RM),Gymnasium,Lift,Minimart,Sauna,Security,Swimming Pool
Condominium,5.0,2,6,1842.0,Kuala Lumpur,4200.0,0,0,1,0,0,0
Condominium,3.0,1,2,1170.0,Kuala Lumpur,2300.0,0,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,1000.0,0,0,1,0,0,0
Apartment,2.0,1,2,743.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Service Residence,1.0,1,1,494.0,Kuala Lumpur,1299.0,0,0,0,0,0,0
Apartment,3.0,1,2,884.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Service Residence,3.0,2,2,982.0,Kuala Lumpur,2900.0,0,0,0,0,0,0
Service Residence,1.0,1,1,700.0,Kuala Lumpur,1550.0,0,0,0,0,0,0
Apartment,2.0,1,1,750.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,3.0,1,2,862.0,Kuala Lumpur,1350.0,0,0,0,0,0,0
Service Residence,2.0,1,2,868.0,Kuala Lumpur,2600.0,0,0,0,0,0,0
Service Residence,4.0,2,2,1100.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Service Residence,1.0,1,1,700.0,Kuala Lumpur,1500.0,1,0,0,0,0,0
Service Residence,3.0,1,2,1009.0,Kuala Lumpur,1300.0,0,0,1,0,0,0
Apartment,5.0,1,2,855.0,Kuala Lumpur,1000.0,0,0,0,0,1,0
Apartment,3.0,1,2,950.0,Kuala Lumpur,3200.0,0,1,0,0,0,0
Apartment,3.0,1,2,950.0,Kuala Lumpur,3200.0,0,1,0,0,0,0
Service Residence,2.0,2,2,650.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,4.0,2,2,1784.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Condominium,3.0,1,2,1100.0,Kuala Lumpur,1800.0,1,0,0,0,0,0
Service Residence,2.0,1,2,650.0,Kuala Lumpur,1099.0,0,0,0,0,0,0
Service Residence,2.0,1,2,650.0,Kuala Lumpur,1099.0,0,0,0,0,1,0
Service Residence,3.0,1,2,819.0,Kuala Lumpur,1199.0,0,0,0,0,1,0
Service Residence,2.0,1,2,650.0,Kuala Lumpur,1100.0,0,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,1000.0,0,0,0,0,0,0
Condominium,1.0,1,1,900.0,Kuala Lumpur,1100.0,0,0,0,0,0,1
Condominium,3.0,1,2,1140.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,3.0,1,2,900.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,4.0,2,3,1500.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Condominium,4.0,2,3,1719.0,Kuala Lumpur,2900.0,0,0,0,0,0,0
Apartment,3.0,1,2,1065.0,Kuala Lumpur,1750.0,0,0,0,0,0,0
Apartment,3.0,1,2,885.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Condominium,3.0,2,2,1300.0,Kuala Lumpur,1900.0,0,0,0,0,0,0
Studio,1.0,1,1,530.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,1,2,1316.0,Kuala Lumpur,2400.0,0,0,0,0,0,0
Service Residence,3.0,2,2,1539.0,Kuala Lumpur,4500.0,0,0,0,0,0,0
Condominium,3.0,1,2,1270.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Service Residence,3.0,1,2,819.0,Kuala Lumpur,1800.0,0,0,0,0,1,0
Apartment,3.0,1,2,950.0,Kuala Lumpur,1500.0,0,0,0,0,1,0
Condominium,3.0,2,2,1200.0,Kuala Lumpur,3000.0,0,0,0,0,0,0
