,facility1,facility2,facility3,facility4,facility5,facility6,facility7,facility8,facility9,facility10,facility11,facility12,facility13,facility14,facility15,facility16,facility17,facility18,facility19,facility20,facility21
0,0,Minimart, Gymnasium, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall, Jogging Track,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
1,1,Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
2,2,Minimart, Jogging Track, Lift, Swimming Pool,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
3,3,Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine,na,na,na
4,4,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track,na,na,na,Air-Cond,na,na,na,na,na
5,5,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
6,6,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
7,7,Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
8,8,Playground, Security, Parking, Lift, Swimming Pool,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
9,9,Playground, Security, Parking, Lift, Swimming Pool, Gymnasium,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
10,10,Parking, Playground, Swimming Pool, Security, Multipurpose hall, Gymnasium, Jogging Track,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
