,Unnamed: 0,prop_name,location,property_type,rooms,parking,bathroom,size,furnished,region,monthly_rent(RM),Club house,Gymnasium,Jogging Track,Lift,Minimart,Multipurpose hall,Parking,Playground,Sauna,Security,Squash Court,Swimming Pool,Tennis Court,unknown, Club house, Gymnasium, Jogging Track, Lift, Minimart, Multipurpose hall, Parking, Playground, Sauna, Security, Squash Court, Swimming Pool, Tennis Court, Barbeque area, 11,Air-Cond,Cooking Allowed,Internet,Near KTM/LRT,Washing Machine, Cooking Allowed, Internet, Near KTM/LRT, Washing Machine
0,0,The Hipster @ Taman Desa,Kuala Lumpur - Taman Desa,Condominium,5,2,6,1842 sq.ft.,Fully Furnished,Kuala Lumpur,4200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1,Segar Courts,Kuala Lumpur - Cheras,Condominium,3,1,2,1170 sq.ft.,Partially Furnished,Kuala Lumpur,2300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2,2,Pangsapuri Teratak Muhibbah 2,Kuala Lumpur - Taman Desa,Apartment,3,0,2,650 sq.ft.,Fully Furnished,Kuala Lumpur,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Sentul Point Suite Apartment,Kuala Lumpur - Sentul,Apartment,2,1,2,743 sq.ft.,Partially Furnished,Kuala Lumpur,1700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4,4,Arte Mont Kiara,Kuala Lumpur - Mont Kiara,Service Residence,1,1,1,494 sq.ft.,Not Furnished,Kuala Lumpur,1299,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,5,Residensi Vista Wirajaya,Kuala Lumpur - Setapak,Apartment,3,1,2,884 sq.ft.,Partially Furnished,Kuala Lumpur,1500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,6,Sky Meridien,Kuala Lumpur - Sentul,Service Residence,3,2,2,982 sq.ft.,Fully Furnished,Kuala Lumpur,2900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7,7,Arte Plus Jalan Ampang,Kuala Lumpur - Ampang,Service Residence,1,1,1,700 sq.ft.,Fully Furnished,Kuala Lumpur,1550,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8,8,Nova I,Kuala Lumpur - Segambut,Apartment,2,1,1,750 sq.ft.,Fully Furnished,Kuala Lumpur,1400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9,9,Sofiya Residences,Kuala Lumpur - Desa ParkCity,Condominium,3,1,2,862 sq.ft.,Partially Furnished,Kuala Lumpur,1350,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10,10,The Park Sky Residence @ Bukit Jalil City,Kuala Lumpur - Bukit Jalil,Service Residence,2,0,2,868 sq.ft.,Partially Furnished,Kuala Lumpur,2600,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,11,PV9 Residences @ Taman Melati,Kuala Lumpur - Setapak,Service Residence,4,2,2,1100 sq.ft.,Partially Furnished,Kuala Lumpur,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12,12,Arte Plus Jalan Ampang,Kuala Lumpur - Ampang,Service Residence,1,1,1,700 sq.ft.,Fully Furnished,Kuala Lumpur,1500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13,13,Maxim Citilights,Kuala Lumpur - Sentul,Service Residence,3,1,2,1009 sq.ft.,Fully Furnished,Kuala Lumpur,1300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
14,14,Greenview Apartments,Kuala Lumpur - Kepong,Apartment,5,0,2,855 sq.ft.,Partially Furnished,Kuala Lumpur,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15,15,Legasi Kampong Bharu,Kuala Lumpur - KL City,Apartment,3,1,2,950 sq.ft.,Fully Furnished,Kuala Lumpur,3200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
16,16,Legasi Kampong Bharu,Kuala Lumpur - KL City,Apartment,3,1,2,950 sq.ft.,Fully Furnished,Kuala Lumpur,3200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
